"","ref","line"
"1",0,0
"2",11,455
"3",26,1070
"4",130,6256
"5",173,7976
"6",221,9925
"7",247,10977
"8",248,11044
"9",412,17676
"10",671,28566
"11",679,28893
"12",692,29422
"13",692,29424
"14",961,40391
"15",961,40401
"16",961,40408
"17",962,40459
"18",967,40682
"19",1026,43320
"20",1026,43341
"21",1043,44328
"22",1043,44351
"23",1043,44352
"24",1043,44357
"25",1043,44358
"26",1043,44359
"27",1043,44361
"28",1043,44364
"29",1043,44365
"30",1095,46552
"31",1095,46554
"32",1127,47830
"33",1204,50985
"34",1204,50986
"35",1294,54532
"36",1294,54544
"37",1336,56139
"38",1344,56473
"39",1386,58120
"40",1401,58840
"41",1601,67146
"42",1634,68499
"43",1634,68527
"44",1714,71641
"45",1758,73380
"46",1871,78583
"47",1871,78586
"48",1871,78587
"49",1960,82284
"50",2025,84861
"51",2042,85507
"52",2066,86488
"53",2066,86496
"54",2088,87334
"55",2088,87346
"56",2273,95372
